"Date (MM/DD/YYYY)","Category","Amount","Note"
"03/27/2019","Clothes","-155.79","shoes in ebay"
"03/24/2019","Bills","-165.0","kvrtplt Tatiana's fot April"
"03/22/2019","Food","-19.01",""
"03/22/2019","Income","1030.0","zrplatka."
"03/21/2019","Food","-32.64",""
"03/21/2019","Food","-23.93",""
"03/18/2019","Income","200.0","avanseg"
"03/15/2019","Food","-31.78",""
"03/13/2019","Bills","-49.12","kvrtplata "
"03/13/2019","Bills","-3.29","gaz rgch"
"03/12/2019","Food","-21.85",""
"03/09/2019","Food","-25.63",""
"03/07/2019","Food","-25.34",""
"03/07/2019","Consumables","-8.94","shampoo, pena dzelya galennya"
"03/05/2019","Food","-8.11",""
"03/04/2019","Food","-26.51",""
"03/01/2019","Food","-20.12",""
"02/28/2019","Income","310.0","1March first edge for Jan"
"02/28/2019","Food","-30.78",""
"02/28/2019","Food","-14.87",""
"02/28/2019","Food","-16.7",""
"02/28/2019","Food","-12.62",""
"02/28/2019","Food","-18.27",""
"02/28/2019","Food","-12.06",""
"02/28/2019","Consumables","-27.0","Bus card in March"
"02/28/2019","Food","-5.21",""
"02/24/2019","Bills","-165.0","Tatiana's for March"
"02/23/2019","Food","-15.14",""
"02/16/2019","Consumables","-8.8","oral-b floss 50m, clean gel Comet."
"02/16/2019","Food","-4.29",""
"02/16/2019","Food","-24.34",""
"02/16/2019","Med","-12.75","iod, lacalut 75ml, grass tea, chlorgecsidin"
"02/16/2019","Food","-18.74",""
"02/16/2019","Consumables","-11.53","Clean gel sanfor, parfume Casa Monstra."
"02/13/2019","Bills","-58.11","Home bill in Rgch"
"02/12/2019","Food","-2.29","bulki belashi"
"02/11/2019","Bills","-3.29","Gaz in Rgch"
"02/10/2019","Food","-20.5",""
"02/10/2019","Food","-18.94",""
"02/10/2019","Food","-22.27",""
"02/10/2019","Food","-26.01",""
"02/10/2019","Med","-13.05","Creme belita"
"02/10/2019","Food","-11.24",""
"02/10/2019","Food","-31.9",""
"02/10/2019","Food","-18.22",""
"02/10/2019","Food","-3.0","Bialyashiki"
"02/04/2019","Fun","-2.0","aux 3.5 mm more"
"02/02/2019","Fun","-2.0","AUX 3.5 mm"
"01/31/2019","Food","-11.94",""
"01/31/2019","Consumables","-27.0","Bus Card in Febuary"
"01/30/2019","Food","-18.67",""
"01/30/2019","Food","-16.82",""
"01/30/2019","Food","-26.01",""
"01/30/2019","Food","-13.68",""
"01/30/2019","Food","-34.41",""
"01/30/2019","Consumables","-9.77","Т-papper, trash pockets"
"01/28/2019","Bills","-20.0","Life internet Febuery"
"01/26/2019","Consumables","-43.0","Earphones $5, Hair machine $15."
"01/24/2019","Bills","-165.0","Tatiana's pay in Febuery"
"01/22/2019","Med","-52.99","Big plomb right-down"
"01/20/2019","Med","-86.96","Revival up koronka"
"01/18/2019","Food","-9.51",""
"01/18/2019","Food","-20.87",""
"01/18/2019","Food","-12.52",""
"01/18/2019","Food","-1.34","An apples"
"01/18/2019","Med","-6.42","Listerine Total care"
"01/14/2019","Bills","-54.79","Rgch apartments pay in Dec"
"01/10/2019","Bills","-2.62","Propan Ragachou behind Dec"
"01/09/2019","Food","-25.38",""
"01/09/2019","Food","-26.29",""
"01/09/2019","Food","-28.44",""
"01/09/2019","Food","-25.16",""
"01/09/2019","Food","-24.84",""
"01/08/2019","Med","-150.43","plmb work 4 chanels in teeth"
"01/03/2019","Med","-172.9","teeth chanels first day"
"12/30/2018","Food","-25.48",""
"12/28/2018","Consumables","-27.0","Bus Card in January"
"12/28/2018","Food","-29.18",""
"12/28/2018","Food","-23.62",""
"12/28/2018","Bills","-18.0","Internet Life in January"
"12/26/2018","Med","-54.8","Teeth 7 pain alert, first stage"
"12/25/2018","Bills","-165.0","Pay for Tatiana in January"
"12/25/2018","Food","-20.53",""
"12/25/2018","Food","-28.66",""
